,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,ntrk,nshw,true_ntrk,true_nshw,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
,,,,,,,,,producer,start,start,start,end,end,end,dir,dir,dir,len,rangeP,mcsP,rangeP,mcsP,bestplane,crthit,crthit,crthit,chi2pid,chi2pid,chi2pid,chi2pid,crttrack,crttrack,dazzle,dazzle,dazzle,dazzle,dazzle,dazzle,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,bestplane,bestplane_dEdx,bestplane_energy,conversion_gap,density,dir,dir,dir,end,end,end,len,open_angle,plane,plane,plane,plane,plane,plane,plane,plane,plane,plane,plane,plane,razzle,razzle,razzle,razzle,razzle,start,start,start,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,,,,,cont_tpc,cont_tpc,bestenergy,nudir,nudir,nudir,truth,truth,truth,nudir,nudir,nudir,truth,truth,truth,theta,truth,theta,truth,Etheta2,truth,Etheta2,truth,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat
,,,,,,,,,,x,y,z,x,y,z,x,y,z,,p_muon,fwdP_muon,p_pion,fwdP_pion,,distance,hit,hit,I2,I2,I2,I2,angle,time,bestScore,muonScore,otherScore,pdg,pionScore,protonScore,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,x,y,z,x,y,z,,,I0,I0,I0,I0,I1,I1,I1,I1,I2,I2,I2,I2,bestScore,electronScore,otherScore,pdg,photonScore,x,y,z,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,x,y,z,p,p,p,x,y,z,p,p,p,,p,,p,,p,,p,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif
,,,,,,,,,,,,,,,,,,,,,,,,,,time,pe,chi2_muon,chi2_proton,chi2_kaon,chi2_pion,,,,,,,,,start_process,end_process,pdg,startE,start,start,start,end,end,end,genp,genp,genp,length,G4ID,cont_tpc,genE,interaction_id,,,,,,,,,,,,,,dEdx,energy,nHits,wirePitch,dEdx,energy,nHits,wirePitch,dEdx,energy,nHits,wirePitch,,,,,,,,,start_process,end_process,pdg,startE,start,start,start,end,end,end,genp,genp,genp,length,G4ID,cont_tpc,genE,interaction_id,,,,,,,,,,,nudir,nudir,nudir,,,,nudir,nudir,nudir,,theta,,theta,,Etheta2,,Etheta2,Etheta2,energy,start,start,start,theta,vtx,Etheta2,energy,start,start,start,theta,vtx,Etheta2,energy,start,start,start,theta,vtx,Etheta2,energy,start,start,start,theta,vtx
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,y,z,x,y,z,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,y,z,x,y,z,x,y,z,,,,,,,,,,,,,,,,x,y,z,,,,x,y,z,,,,,,,,,,,x,y,z,,,,,x,y,z,,,,,x,y,z,,,,,x,y,z,,
run,subrun,evt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,1,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,1,1,1,,1,0,,0,-100.20207,70.0232,123.50291,-97.3266,61.70028,250.69687,0.00543212,-0.008087145,0.99995255,303.66785,0.78750765,0.73,0.82393503,1.19,2,,,,38.066494,414.66568,162.8606,58.563404,,,0.9080581,0.051885117,0.9080581,0.0,0.035095245,0.004961562,0,52,11,0.30395406,-100.20787,70.13152,123.432755,-89.281044,71.104576,159.72241,0.0026687796,-0.01266581,0.30367792,39.432022,2,1,0.30395406,0,2.0,2.1332922,0.293025,0.0,3.1994371,0.027585745,-0.037067343,0.99893206,-97.68139,66.73666,214.92136,91.58642,0.13141157,1.6569883,0.292647,252.0,0.6418969,2.3217075,0.29200053,217,0.5643688,2.1332922,0.293025,372,0.3003207,0.70719486,0.70719486,0.14307709,11.0,0.14972804,-100.20787,70.13152,123.432755,0,52,11,0.30395406,-100.20787,70.13152,123.432755,-89.281044,71.104576,159.72241,0.0026687796,-0.01266581,0.30367792,39.432022,2,1,0.30395406,0,0,1,0,1,True,True,0.7945640683174133,-0.00235604215413332,0.0063047027215361595,0.9999773502349854,-0.00235604215413332,0.0063047027215361595,0.9999773502349854,-0.0023555061779916286,0.006294924765825272,0.9999773502349854,-0.00235604215413332,0.0063047027215361595,0.9999773502349854,0.05271992728295098,0.04926262445714762,0.01635469808464086,0.04926262445714762,0.0008144309332740242,0.0007376375994804318,0.0002125269374767285,0.0007376375994804318,0.10410713044953666,-0.035956345,-0.0,0.0,0.0,0.07018105234752127,0.0,-0.7118816372342928,1.614092589022891,-5.786312e-05,-0.0015445572,0.00056834414,-0.6680100123600313,0.0007434266,7.67933337935924e-05,-0.010929078,0.0,0.0,0.0,0.0034573028258033586,0.0,-0.0005251106620037033,0.4906100034713745,0.00579834,-0.10832214,0.07015228,-0.032907926372506766,0.12918456
1,49,3,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,3,1,1,,1,0,,0,173.45436,146.21408,237.78267,160.97011,113.42823,391.00247,0.03257736,0.017043985,0.99932384,404.948,1.0167162,0.92,1.0488065,1.39,2,,,,27.773802,222.62405,128.80588,34.320377,,,0.86406684,0.073425256,0.86406684,0.0,0.04856113,0.013946747,0,52,11,0.5299637,173.50174,146.28253,237.81444,176.88326,139.25453,287.6987,0.018133536,-0.009584067,0.52956635,52.887012,2,1,0.5299637,0,2.0,2.3048072,0.47812587,0.0,5.7436543,0.05151946,-0.12324237,0.99103844,177.79044,136.02332,320.31262,83.244194,0.15556788,2.4218962,0.49008858,299.0,0.7716284,2.1497116,0.49014664,294,0.4981318,2.3048072,0.47812587,491,0.30271277,0.72111005,0.72111005,0.10933594,11.0,0.16955398,173.50174,146.28253,237.81444,0,52,11,0.5299637,173.50174,146.28253,237.81444,176.88326,139.25453,287.6987,0.018133536,-0.009584067,0.52956635,52.887012,2,1,0.5299637,0,0,1,0,1,True,True,1.0221915245056152,0.02201680652797222,0.013012733310461044,0.9996729493141174,0.02201680652797222,0.013012733310461044,0.9996729493141174,0.022012656554579735,0.013006683439016342,0.9996730089187622,0.02201680652797222,0.013012733310461044,0.9996729493141174,0.13979301855733905,0.03340820735027244,0.01131317481034055,0.03340820735027244,0.009343577848937294,0.0005914968629269809,0.0001308281714476133,0.0005914968629269809,14.796496033303123,-0.097813874,0.0,0.0,0.0,3.1843914907394475,0.0,-0.7788184863733355,0.928795459389303,-0.00027307242,-0.00046793645,-0.00013358651,-0.6613654036648484,0.00027106295,0.008752080986010314,-0.051837802,0.0,0.0,0.0,0.10638481120706661,0.0,-0.0004606686914793676,0.49222785234451294,-0.04737854,-0.06845093,-0.0317688,-0.022095032539931888,0.08910394
1,49,4,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
