,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,nshw,ntrk,true_nshw,true_ntrk,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
,,,,,,,,,producer,start,start,start,end,end,end,dir,dir,dir,len,rangeP,mcsP,rangeP,mcsP,bestplane,crthit,crthit,crthit,chi2pid,chi2pid,chi2pid,chi2pid,crttrack,crttrack,dazzle,dazzle,dazzle,dazzle,dazzle,dazzle,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,bestplane,bestplane_dEdx,bestplane_energy,conversion_gap,density,dir,dir,dir,end,end,end,len,open_angle,plane,plane,plane,plane,plane,plane,plane,plane,plane,plane,plane,plane,razzle,razzle,razzle,razzle,razzle,start,start,start,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,truth,,,,,cont_tpc,cont_tpc,bestenergy,nudir,nudir,nudir,truth,truth,truth,nudir,nudir,nudir,truth,truth,truth,theta,truth,theta,truth,Etheta2,truth,Etheta2,truth,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat,stat
,,,,,,,,,,x,y,z,x,y,z,x,y,z,,p_muon,fwdP_muon,p_pion,fwdP_pion,,distance,hit,hit,I2,I2,I2,I2,angle,time,bestScore,muonScore,otherScore,pdg,pionScore,protonScore,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,x,y,z,x,y,z,,,I0,I0,I0,I0,I1,I1,I1,I1,I2,I2,I2,I2,bestScore,electronScore,otherScore,pdg,photonScore,x,y,z,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,x,y,z,p,p,p,x,y,z,p,p,p,,p,,p,,p,,p,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,mae,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif,dif
,,,,,,,,,,,,,,,,,,,,,,,,,,time,pe,chi2_muon,chi2_proton,chi2_kaon,chi2_pion,,,,,,,,,start_process,end_process,pdg,startE,start,start,start,end,end,end,genp,genp,genp,length,G4ID,cont_tpc,genE,interaction_id,,,,,,,,,,,,,,dEdx,energy,nHits,wirePitch,dEdx,energy,nHits,wirePitch,dEdx,energy,nHits,wirePitch,,,,,,,,,start_process,end_process,pdg,startE,start,start,start,end,end,end,genp,genp,genp,length,G4ID,cont_tpc,genE,interaction_id,,,,,,,,,,,nudir,nudir,nudir,,,,nudir,nudir,nudir,,theta,,theta,,Etheta2,,Etheta2,Etheta2,energy,start,start,start,theta,vtx,Etheta2,energy,start,start,start,theta,vtx,Etheta2,energy,start,start,start,theta,vtx,Etheta2,energy,start,start,start,theta,vtx
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,y,z,x,y,z,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,y,z,x,y,z,x,y,z,,,,,,,,,,,,,,,,x,y,z,,,,x,y,z,,,,,,,,,,,x,y,z,,,,,x,y,z,,,,,x,y,z,,,,,x,y,z,,
run,subrun,evt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,1,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,1,1,1,0.36413127,1,0,,0,-100.20318,70.02953,123.50434,-71.22104,84.70084,234.78984,0.016693024,-0.01485435,0.9997504,197.37738,0.5524166,0.47,0.5917094,0.89,2,,,,36.561565,357.92627,626.4257,81.0871,,,0.9357017,0.028644364,0.9357017,0.0,0.03258253,0.0030713722,0,52,11,0.30395406,-100.20787,70.13152,123.432755,-89.281044,71.104576,159.72241,0.0026687796,-0.01266581,0.30367792,39.432022,2,1,0.30395406,0,2.0,2.135178,0.29182667,0.57347906,3.3176749,0.06228236,-0.032162923,0.99754024,-94.68327,67.14577,211.24483,87.9612,0.11314739,1.6847612,0.28852874,247,0.637056,2.2954285,0.24800989,193,0.5696664,2.135178,0.29182667,371,0.30073974,0.82236725,0.82236725,0.082140915,11.0,0.09549181,-100.161705,69.97485,123.49999,0,52,11,0.30395406,-100.20787,70.13152,123.432755,-89.281044,71.104576,159.72241,0.0026687796,-0.01266581,0.30367792,39.432022,2,1,0.30395406,0,1,0,1,0,True,True,0.5624302625656128,-0.0023518779780715704,0.006290580611675978,0.9999774098396301,-0.00235604215413332,0.0063047027215361595,0.9999773502349854,-0.002355605596676469,0.006295494269579649,0.9999774098396301,-0.00235604215413332,0.0063047027215361595,0.9999773502349854,0.07526488492997237,0.04926262445714762,0.028463131750695606,0.04926262445714762,0.0016531405414913212,0.0007376375994804318,0.00045565280357148195,0.0007376375994804318,1.2411283571441316,-0.03989879,-0.00046069702,-0.00223394,0.00054473267,0.527829378953277,0.0010164541,-0.3822809413559869,0.8503791447911688,-4.6823443e-05,-0.0014542639,0.0005799644,-0.4222164964951268,0.0007175839,0.0009155029420108893,-0.012127399,0.046165466,-0.15666962,0.067237854,0.026002260472824744,0.17662828,-0.0002819847959089499,0.258476197719574,0.0046920776,-0.101989746,0.07158661,-0.020799492706452018,0.12469389
1,49,3,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,3,1,1,0.35355294,1,0,,0,173.45378,146.21497,237.79305,181.24504,117.82677,367.84305,0.03303536,0.016632121,0.9993158,204.38368,0.5677495,0.51,0.60693747,0.94,2,,,,0.0,0.0,0.0,0.0,,,0.7572443,0.13833365,0.7572443,0.0,0.075656496,0.028765578,0,52,11,0.5299637,173.50174,146.28253,237.81444,176.88326,139.25453,287.6987,0.018133536,-0.009584067,0.52956635,52.887012,2,1,0.5299637,0,2.0,2.305422,0.46640873,0.14892353,5.8989844,0.09799202,-0.056368366,0.99358964,181.21352,141.90147,316.3591,79.06593,0.062678374,2.3992019,0.47773463,271,0.6696752,2.1637878,0.4743517,271,0.549842,2.305422,0.46640873,464,0.30193552,0.9017199,0.9017199,0.062678285,11.0,0.035601757,173.46568,146.35829,237.8,0,52,11,0.5299637,173.50174,146.28253,237.81444,176.88326,139.25453,287.6987,0.018133536,-0.009584067,0.52956635,52.887012,2,1,0.5299637,0,1,0,1,0,True,True,0.5774973630905151,0.022013626992702484,0.013019489124417305,0.9996728301048279,0.02201680652797222,0.013012733310461044,0.9996729493141174,0.022012585774064064,0.013006750494241714,0.9996731281280518,0.02201680652797222,0.013012733310461044,0.9996729493141174,0.10311942284280917,0.03340820735027244,0.0116080525584464,0.03340820735027244,0.004959611034082551,0.0005914968629269809,7.781597030996318e-05,0.0005914968629269809,7.3848475705184,-0.119923204,-0.00020781647,0.00051790115,-6.0697806e-05,2.0866493901226413,0.00025898957,-0.8684422941401645,0.08969235709228612,-0.00027641436,-0.00046188643,-8.9955945e-05,-0.652538897500834,0.0002603228,0.00436811417115557,-0.06355494,-0.03605652,0.07575989,-0.014434814,0.06971121549253673,0.08513517,-0.0005136808926170177,0.04753369092941284,-0.047958374,-0.06756592,-0.021392822,-0.021800154791826037,0.08557343
1,49,4,1,2,,-1,2,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,2,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
